"applicationNumber","documentId","date","title","phase","pages"
"EP08740624","EU4PDF8D0029452","16.09.2013","Closing of application","Search / examination","2"
"EP08740624","EUO2IBJE5295FI4","04.06.2013","Notice drawing attention to the payment of the renewal fee and additional fee","Search / examination","2"
"EP08740624","EUMY8MXM3242452","23.05.2013","Application deemed to be withdrawn ( translations of claims/payment missing)","Search / examination","2"
"EP08740624","ETYU0AGO6765FI4","05.12.2012","Bibliographic data of the European patent application","Search / examination","2"
"EP08740624","ETYU0ACU3172FI4","05.12.2012","Communication about intention to grant a European patent","Search / examination","5"
"EP08740624","ETYU0ALV9089FI4","05.12.2012","Intention to grant (signatures)","Search / examination","1"
"EP08740624","ETYU0AKG7176FI4","05.12.2012","Text intended for grant","Search / examination","69"
"EP08740624","ERUT71XC8837234","08.06.2011","Reply to Written Opinion prepared by the EPO","Search / examination","2"
"EP08740624","ERN1MBBU0058FI4","06.05.2011","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP08740624","ERLWFM875765FI4","18.04.2011","Communication regarding the transmission of the European search report","Search / examination","1"
"EP08740624","ERLW8T3I2818FI4","18.04.2011","European search opinion","Search / examination","2"
"EP08740624","ERLW9KDZ6125FI4","18.04.2011","Supplementary European search report","Search / examination","1"
"EP08740624","EPN65V6H6788FI4","16.12.2009","Notification of forthcoming publication","Search / examination","1"
"EP08740624","EPMYYX4H4205688","09.12.2009","Communication regarding possible amendment of claims/payment of claims fees","Search / examination","2"
"EP08740624","EPLZ1SEJ1414FI4","25.11.2009","Translation of the international preliminary report on patentability","Search / examination","5"
"EP08740624","EPJZRQJA8216FI4","11.11.2009","Copy of the international preliminary report on patentability","Search / examination","5"
"EP08740624","EPBQNWLP8276FI4","18.09.2009","Information on entry into European phase","Search / examination","3"
"EP08740624","EO6SU2OM4139J12","05.08.2009","Abstract","Search / examination","1"
"EP08740624","EO6SU2NU6372J12","05.08.2009","Annex","Search / examination","1"
"EP08740624","EO6SU2NV2597J12","05.08.2009","Annex","Search / examination","2"
"EP08740624","EO6SU2OL7316J12","05.08.2009","Claims","Search / examination","1"
"EP08740624","EO6SU2OK9537J12","05.08.2009","Description","Search / examination","62"
"EP08740624","EO6SU2OW0613J12","05.08.2009","Drawings","Search / examination","6"
"EP08740624","EO6SU2MZ2172J12","05.08.2009","Request for entry into the European phase","Search / examination","9"
"EP08740624","EN64P5760673FI4","04.12.2008","Priority document (electronically transmitted)","Search / examination","40"
"EP08740624","EN64P5820192FI4","04.12.2008","Priority document (electronically transmitted)","Search / examination","40"
"EP08740624","EN4OY0OS1731FI4","13.11.2008","Copy of the international search report","Search / examination","2"
"EP08740624","EN4OY0OR3373FI4","13.11.2008","Copy of the translated international search report","Search / examination","2"
"EP08740624","EN4OY0OQ3760FI4","13.11.2008","International publication pamphlet","Search / examination","45"
