applicationNumber,documentId,date,title,phase,pages,fileName,path,url
EP18755728,E16YBRNZ8600DSU,31.07.2018,Abstract,PCT receiving Office,1,31-07-2018_Abstract_E16YBRNZ8600DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\original-application\31-07-2018_Abstract_E16YBRNZ8600DSU.pdf,https://register.epo.org/application?documentId=E16YBRNZ8600DSU&appnumber=EP18755728&showPdfPage=all&proc=
EP18755728,E16YBRNZ3754DSU,31.07.2018,Claims,PCT receiving Office,21,31-07-2018_Claims_E16YBRNZ3754DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\original-application\31-07-2018_Claims_E16YBRNZ3754DSU.pdf,https://register.epo.org/application?documentId=E16YBRNZ3754DSU&appnumber=EP18755728&showPdfPage=all&proc=
EP18755728,E16YBRNZ0860DSU,31.07.2018,Description,PCT receiving Office,200,31-07-2018_Description_E16YBRNZ0860DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\original-application\31-07-2018_Description_E16YBRNZ0860DSU.pdf,https://register.epo.org/application?documentId=E16YBRNZ0860DSU&appnumber=EP18755728&showPdfPage=all&proc=
EP18755728,E2ZDY14O5312DSU,07.02.2019,Published international application - A1,Search / examination,222,07-02-2019_Published_international_application_-_A1_E2ZDY14O5312DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\original-application\07-02-2019_Published_international_application_-_A1_E2ZDY14O5312DSU.pdf,https://register.epo.org/application?documentId=E2ZDY14O5312DSU&appnumber=EP18755728&showPdfPage=all&proc=
EP18755728,LH68QE4YHUBSX91,11.05.2023,Bibliographic data of the European patent application,Search / examination,2,11-05-2023_Bibliographic_data_of_the_European_patent_application_LH68QE4YHUBSX91.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18755728\original-application\11-05-2023_Bibliographic_data_of_the_European_patent_application_LH68QE4YHUBSX91.pdf,https://register.epo.org/application?documentId=LH68QE4YHUBSX91&appnumber=EP18755728&showPdfPage=all&proc=
