pdf,txt,status,returncode,error
疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/18-09-2017_Claims_E0XSQBDH2910DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/18-09-2017_Claims_E0XSQBDH2910DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/18-09-2017_Claims_E0XSQBDH2910DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/18-09-2017_Claims_E0XSQBDH2910DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/19-06-2018_European_search_opinion_E1Z5WQQ66836DSU.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/19-06-2018_European_search_opinion_E1Z5WQQ66836DSU_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/19-06-2018_European_search_opinion_E1Z5WQQ66836DSU.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/19-06-2018_European_search_opinion_E1Z5WQQ66836DSU_ocr.txt 
疾病分类9个样例/肿瘤/EP17191704/docs/20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171.pdf,疾病分类9个样例/肿瘤/EP17191704/docs/20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171_ocr.txt,ok,0,疾病分类9个样例/肿瘤/EP17191704/docs/20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171.pdf -> 疾病分类9个样例/肿瘤/EP17191704/docs/20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171_ocr.txt 
