"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP20726962","M2W13QJTLGZDWGD","30.10.2024","Claims","Search / examination","13","30-10-2024_Claims_M2W13QJTLGZDWGD.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\original-application\30-10-2024_Claims_M2W13QJTLGZDWGD.pdf","https://register.epo.org/application?documentId=M2W13QJTLGZDWGD&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M2W133YN1IQ7UM8","30.10.2024","Description","Search / examination","51","30-10-2024_Description_M2W133YN1IQ7UM8.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\original-application\30-10-2024_Description_M2W133YN1IQ7UM8.pdf","https://register.epo.org/application?documentId=M2W133YN1IQ7UM8&appnumber=EP20726962&showPdfPage=all&proc="
"EP20726962","M6QKIHK8150398X","06.02.2025","Bibliographic data of the European patent application","Search / examination","3","06-02-2025_Bibliographic_data_of_the_European_patent_application_M6QKIHK8150398X.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\original-application\06-02-2025_Bibliographic_data_of_the_European_patent_application_M6QKIHK8150398X.pdf","https://register.epo.org/application?documentId=M6QKIHK8150398X&appnumber=EP20726962&showPdfPage=all&proc="
