pdf,txt,status,returncode,error
疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Annex_to_the_communication_E6EXEA4M3006DSU_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/02-07-2021_Communication_from_the_examining_division_with_an_Invitation_to_pay_a_search_fee(s)_E6EXEA1S9370DSU_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/18-08-2023_Decision_to_grant_a_European_patent_LL5RV7HT17OSPIK_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/19-03-2018_Claims_E1NQ5OFG6074DSU.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/19-03-2018_Claims_E1NQ5OFG6074DSU_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/19-03-2018_Claims_E1NQ5OFG6074DSU.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/19-03-2018_Claims_E1NQ5OFG6074DSU_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/21-09-2021_Annex_to_the_communication_E6P72X4A1242DSU_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/27-04-2020_Amended_claims_filed_after_receipt_of_(European)_search_report_E4PS6VI82341DSU_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/31-01-2022_Reply_to_communication_from_the_Examining_Division_KZ2S33RG179A0ER_ocr.txt 
疾病分类9个样例/代谢性疾病/EP18712343/docs/31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ.pdf,疾病分类9个样例/代谢性疾病/EP18712343/docs/31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ_ocr.txt,ok,0,疾病分类9个样例/代谢性疾病/EP18712343/docs/31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ.pdf -> 疾病分类9个样例/代谢性疾病/EP18712343/docs/31-03-2023_Communication_about_intention_to_grant_a_European_patent_LFKTH86419T52LQ_ocr.txt 
