applicationNumber,documentId,date,title,phase,pages,fileName,path,url
EP18826609,E2QXUDU76913DSU,18.12.2018,Abstract,PCT receiving Office,1,18-12-2018_Abstract_E2QXUDU76913DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18826609\original-application\18-12-2018_Abstract_E2QXUDU76913DSU.pdf,https://register.epo.org/application?documentId=E2QXUDU76913DSU&appnumber=EP18826609&showPdfPage=all&proc=
EP18826609,E2QXUDU73532DSU,18.12.2018,Claims,PCT receiving Office,25,18-12-2018_Claims_E2QXUDU73532DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18826609\original-application\18-12-2018_Claims_E2QXUDU73532DSU.pdf,https://register.epo.org/application?documentId=E2QXUDU73532DSU&appnumber=EP18826609&showPdfPage=all&proc=
EP18826609,E2QXUDU71221DSU,18.12.2018,Description,PCT receiving Office,305,18-12-2018_Description_E2QXUDU71221DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18826609\original-application\18-12-2018_Description_E2QXUDU71221DSU.pdf,https://register.epo.org/application?documentId=E2QXUDU71221DSU&appnumber=EP18826609&showPdfPage=all&proc=
EP18826609,E3I3OI3A6347DSU,27.06.2019,Published international application - A1,Search / examination,331,27-06-2019_Published_international_application_-_A1_E3I3OI3A6347DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18826609\original-application\27-06-2019_Published_international_application_-_A1_E3I3OI3A6347DSU.pdf,https://register.epo.org/application?documentId=E3I3OI3A6347DSU&appnumber=EP18826609&showPdfPage=all&proc=
EP18826609,M5QOWNYGYX5M67F,14.01.2025,Bibliographic data of the European patent application,Search / examination,2,14-01-2025_Bibliographic_data_of_the_European_patent_application_M5QOWNYGYX5M67F.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP18826609\original-application\14-01-2025_Bibliographic_data_of_the_European_patent_application_M5QOWNYGYX5M67F.pdf,https://register.epo.org/application?documentId=M5QOWNYGYX5M67F&appnumber=EP18826609&showPdfPage=all&proc=
