applicationNumber,documentId,date,title,phase,pages,fileName,path,url
EP12710797,ESZ40ACM8142328,28.03.2012,Abstract,International Searching Authority,1,28-03-2012_Abstract_ESZ40ACM8142328.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\28-03-2012_Abstract_ESZ40ACM8142328.pdf,https://register.epo.org/application?documentId=ESZ40ACM8142328&appnumber=EP12710797&showPdfPage=all&proc=
EP12710797,ESZ40ACM0538328,28.03.2012,Claims,International Searching Authority,24,28-03-2012_Claims_ESZ40ACM0538328.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\28-03-2012_Claims_ESZ40ACM0538328.pdf,https://register.epo.org/application?documentId=ESZ40ACM0538328&appnumber=EP12710797&showPdfPage=all&proc=
EP12710797,ESZ40ACL4074328,28.03.2012,Description,International Searching Authority,84,28-03-2012_Description_ESZ40ACL4074328.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\28-03-2012_Description_ESZ40ACL4074328.pdf,https://register.epo.org/application?documentId=ESZ40ACL4074328&appnumber=EP12710797&showPdfPage=all&proc=
EP12710797,ESZ40ACN5169328,28.03.2012,Drawings,International Searching Authority,7,28-03-2012_Drawings_ESZ40ACN5169328.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\28-03-2012_Drawings_ESZ40ACN5169328.pdf,https://register.epo.org/application?documentId=ESZ40ACN5169328&appnumber=EP12710797&showPdfPage=all&proc=
EP12710797,ETPP4NYB4830FI4,20.09.2012,Published international application - A1,Search / examination,116,20-09-2012_Published_international_application_-_A1_ETPP4NYB4830FI4.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\20-09-2012_Published_international_application_-_A1_ETPP4NYB4830FI4.pdf,https://register.epo.org/application?documentId=ETPP4NYB4830FI4&appnumber=EP12710797&showPdfPage=all&proc=
EP12710797,EZ67GHHG0776DSU,16.03.2017,Bibliographic data of the European patent application,Search / examination,1,16-03-2017_Bibliographic_data_of_the_European_patent_application_EZ67GHHG0776DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP12710797\original-application\16-03-2017_Bibliographic_data_of_the_European_patent_application_EZ67GHHG0776DSU.pdf,https://register.epo.org/application?documentId=EZ67GHHG0776DSU&appnumber=EP12710797&showPdfPage=all&proc=
