"applicationNumber","documentId","date","title","phase","pages"
"EP16802532","LJRRPYUY8BIRZTF","12.07.2023","Communication regarding the expiry of opposition period","Search / examination","1"
"EP16802532","L9WU6GK3OWTGYDE","04.11.2022","Communication of the registration of a transfer or change of name and/or address","Search / examination","2"
"EP16802532","L9R1KEFE147DE7K","27.10.2022","(Electronic) Receipt","Search / examination","1"
"EP16802532","L9R1KCVFDKTH9AK","27.10.2022","Annexes in respect of a client data request","Search / examination","1"
"EP16802532","L9R1KCDXMBH96ZV","27.10.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP16802532","L9R1KDSY1IQFOKG","27.10.2022","Submission concerning a transfer of rights (applicant)","Search / examination","1"
"EP16802532","L7Z6LPN6PII23CH","20.09.2022","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP16802532","L6FNAWHJ1M7IUKL","11.08.2022","Decision to grant a European patent","Search / examination","2"
"EP16802532","L6AEDG59UQOC5FC","01.08.2022","(Electronic) Receipt","Search / examination","1"
"EP16802532","L6AEDEDX1JZ3BYB","01.08.2022","Filing of the translations of the claims","Search / examination","1"
"EP16802532","L6AEDF7YAC7GFQ3","01.08.2022","French translation of claims","Search / examination","7"
"EP16802532","L6AEDELD8BEK1D1","01.08.2022","German translation of the claims","Search / examination","7"
"EP16802532","L6AEDE01NJSJGVL","01.08.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP16802532","L0QR0FM01IMW09X","22.03.2022","Intention to grant (signatures)","Search / examination","1"
"EP16802532","L0MFXRGH94MONGE","21.03.2022","Bibliographic data of the European patent application","Search / examination","2"
"EP16802532","L0MFXQWD1D5KGZ9","21.03.2022","Communication about intention to grant a European patent","Search / examination","5"
"EP16802532","L0MYGE6S14NJ6SX","21.03.2022","Text intended for grant (clean copy)","Search / examination","74"
"EP16802532","L0MYGJ8XJI4SNBA","21.03.2022","Text intended for grant (version for approval)","Search / examination","74"
"EP16802532","KVQIQ8SM1K31I8P","08.11.2021","(Electronic) Receipt","Search / examination","1"
"EP16802532","KVQIPYVU17U8ASN","08.11.2021","Amended claims with annotations","Search / examination","5"
"EP16802532","KVQIQ04X1RE5499","08.11.2021","Amended description with annotations","Search / examination","69"
