"applicationNumber","documentId","date","title","phase","pages"
"EP18885399","L38RM01E1VKSCTP","16.05.2022","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","L38RM0QX7YO4ZZQ","16.05.2022","Reply to communication from the Examining Division","Search / examination","2"
"EP18885399","L1XWJJV2M0S13JF","20.04.2022","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP18885399","L1ULZ61VS6QR8MY","11.04.2022","(Electronic) Receipt","Search / examination","1"
"EP18885399","L1ULZ4VE1FXX7YB","11.04.2022","Letter accompanying subsequently filed items","Search / examination","2"
"EP18885399","KX4HWLJYNU2I4NL","16.12.2021","Annex to the communication","Search / examination","5"
"EP18885399","KX4HWL6115NIQBN","16.12.2021","Communication from the Examining Division","Search / examination","2"
"EP18885399","KX03RVXE12ME4FS","10.12.2021","Examination started","Search / examination","1"
"EP18885399","KWDM5TWY9HUMS3D","24.11.2021","(Electronic) Receipt","Search / examination","1"
"EP18885399","KWDM5TBVWUZK2AM","24.11.2021","Amended claims filed after receipt of (European) search report","Search / examination","1"
"EP18885399","KWDM5SZI1G29Y3S","24.11.2021","Amendments received before examination","Search / examination","1"
"EP18885399","KWDM5SLC1B79DFX","24.11.2021","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","E6L4N6O04352DSU","18.08.2021","(Electronic) Receipt","Search / examination","1"
"EP18885399","E6L4N6KA6412DSU","18.08.2021","General authorisation","Search / examination","1"
"EP18885399","E6L4N6H94267DSU","18.08.2021","Letter accompanying subsequently filed items","Search / examination","2"
"EP18885399","E6KR048K0879DSU","12.08.2021","Communication confirming withdrawal from representation","Search / examination","1"
"EP18885399","E6KR1I4X5209DSU","12.08.2021","Communication of amended entries concerning the representative","Search / examination","1"
"EP18885399","E6K76PN40800DSU","12.08.2021","Miscellaneous requests concerning client data","Search / examination","1"
"EP18885399","E6KEBAWJ8295DSU","06.08.2021","(Electronic) Receipt","Search / examination","1"
"EP18885399","E6KEBAOP2291DSU","06.08.2021","Letter accompanying subsequently filed items","Search / examination","1"
"EP18885399","E6KEGZCZ6782DSU","06.08.2021","Letter relating to the automatic debiting  procedure","Search / examination","1"
"EP18885399","E6KEBARF2707DSU","06.08.2021","Submission concerning change of applicant's representative","Search / examination","1"
"EP18885399","E6AVNTZ07707DSU","09.06.2021","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP18885399","E575U5504683DSU","19.05.2021","Communication regarding the transmission of the European search report","Search / examination","1"
"EP18885399","E57605779826DSU","19.05.2021","European search opinion","Search / examination","4"
"EP18885399","E57608T46804DSU","19.05.2021","Information on Search Strategy","Search / examination","1"
"EP18885399","E57608T28028DSU","19.05.2021","Supplementary European search report","Search / examination","2"
"EP18885399","E56XBOJK9250DSU","04.05.2021","Search started","Search / examination","1"
"EP18885399","E5Q3KIIB2364DSU","13.01.2021","(Electronic) Receipt","Search / examination","1"
"EP18885399","E5Q3KG7Y4168DSU","13.01.2021","Amended claims filed after receipt of (European) search report","Search / examination","44"
"EP18885399","E5Q3KHR89847DSU","13.01.2021","Amended claims with annotations","Search / examination","50"
"EP18885399","E5Q3KG4S9027DSU","13.01.2021","Amendments received before examination","Search / examination","4"
"EP18885399","E5Q3KG2W5754DSU","13.01.2021","Letter accompanying subsequently filed items","Search / examination","2"
"EP18885399","E49ATWFK9974DSU","16.09.2020","Notification on forthcoming publication of bibliographic data","Search / examination","1"
"EP18885399","E432CQAC5854171","03.08.2020","Annexes to the international preliminary examination report","Search / examination","25"
"EP18885399","E43SLRYT8377DSU","03.08.2020","Copy of the international preliminary examination report","Search / examination","3"
"EP18885399","E4ZVBZMZ1029DSU","14.07.2020","Communication regarding possible amendment of the application/payment of claims fee","Search / examination","3"
"EP18885399","E4ZVCYKN1996DSU","10.07.2020","Communication to designated inventor","Search / examination","1"
"EP18885399","E4ZVDF4L3084DSU","10.07.2020","Communication to designated inventor","Search / examination","1"
