"applicationNumber","documentId","date","title","phase","pages"
"EP18826609","MO2B12XTDIUF85O","22.04.2026","Communication regarding the expiry of opposition period","Search / examination","1"
"EP18826609","MC9M7S4J9ERIKZ2","01.07.2025","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP18826609","MAQ0WGCZ13NTH8W","22.05.2025","Decision to grant a European patent","Search / examination","3"
"EP18826609","MAF8BLJG1GQHB15","08.05.2025","(Electronic) Receipt","Search / examination","1"
"EP18826609","MAF8BIU11QMTGZ1","08.05.2025","Filing of the translations of the claims","Search / examination","1"
"EP18826609","MAF8BJ4V1AHGFG1","08.05.2025","French translation of claims","Search / examination","18"
"EP18826609","MAF8BKAO43UEC8B","08.05.2025","German translation of the claims","Search / examination","18"
"EP18826609","MAF8BIG8LZX1EXP","08.05.2025","Letter accompanying subsequently filed items","Search / examination","2"
"EP18826609","MA5FBUNH18L1X5E","07.05.2025","Communication of amended entries concerning the representative","Search / examination","1"
"EP18826609","MAE2G0T04KRKLG3","07.05.2025","Miscellaneous requests concerning client data","Search / examination","1"
"EP18826609","MA5FACSA1A6WC4U","01.05.2025","(Electronic) Receipt","Search / examination","1"
"EP18826609","MA5FAJBWHRKK1EG","01.05.2025","Request for change of applicant's representative","Search / examination","1"
"EP18826609","M5QOWNYN16MMK8N","14.01.2025","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP18826609","M5QOWNYGYX5M67F","14.01.2025","Bibliographic data of the European patent application","Search / examination","2"
"EP18826609","M5QOWNYD1Q6S6C9","14.01.2025","Communication about intention to grant a European patent","Search / examination","5"
"EP18826609","M5QOWNYT1XKT3P3","14.01.2025","Intention to grant (signatures)","Search / examination","1"
"EP18826609","M5PTWVQZ1EWVBWD","14.01.2025","Text intended for grant (clean copy)","Search / examination","321"
"EP18826609","M5PTXH05R42P9AZ","14.01.2025","Text intended for grant (version for approval)","Search / examination","321"
"EP18826609","M4WJUXGN1XWNHFN","23.12.2024","Notification concerning the date of oral proceedings","Search / examination","1"
"EP18826609","M4VHIZPY1HM796Q","19.12.2024","(Electronic) Receipt","Search / examination","1"
"EP18826609","M4VHI8ADVPJPKN5","19.12.2024","Amended claims with annotations","Search / examination","37"
"EP18826609","M4VHIN361MTAY8V","19.12.2024","Amended description with annotations","Search / examination","310"
"EP18826609","M4VHIAB219BEKRC","19.12.2024","Claims","Search / examination","17"
"EP18826609","M4VHIB7D6BUBDDK","19.12.2024","Description","Search / examination","304"
"EP18826609","M4VHI7J62ZVSS48","19.12.2024","Letter accompanying subsequently filed items","Search / examination","1"
"EP18826609","M4VHI7VS12CCMSJ","19.12.2024","Written submission in preparation to/during oral proceedings","Search / examination","3"
"EP18826609","M4SL5G5B18RI5JG","18.12.2024","Annex to the communication","Search / examination","1"
"EP18826609","M4SL5G57UP6WWSV","18.12.2024","Consultation by telephone/in person","Search / examination","1"
