applicationNumber,documentId,date,title,phase,pages,fileName,path,url
EP16802532,E1B7JWV27800DSU,28.12.2017,Abstract,Search / examination,1,28-12-2017_Abstract_E1B7JWV27800DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\original-application\28-12-2017_Abstract_E1B7JWV27800DSU.pdf,https://register.epo.org/application?documentId=E1B7JWV27800DSU&appnumber=EP16802532&showPdfPage=all&proc=
EP16802532,E1B7JWV25078DSU,28.12.2017,Claims,Search / examination,7,28-12-2017_Claims_E1B7JWV25078DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\original-application\28-12-2017_Claims_E1B7JWV25078DSU.pdf,https://register.epo.org/application?documentId=E1B7JWV25078DSU&appnumber=EP16802532&showPdfPage=all&proc=
EP16802532,E1B7JWV22462DSU,28.12.2017,Description,Search / examination,67,28-12-2017_Description_E1B7JWV22462DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\original-application\28-12-2017_Description_E1B7JWV22462DSU.pdf,https://register.epo.org/application?documentId=E1B7JWV22462DSU&appnumber=EP16802532&showPdfPage=all&proc=
EP16802532,E1B7JW2Q1741DSU,28.12.2017,Drawings,Search / examination,4,28-12-2017_Drawings_E1B7JW2Q1741DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\original-application\28-12-2017_Drawings_E1B7JW2Q1741DSU.pdf,https://register.epo.org/application?documentId=E1B7JW2Q1741DSU&appnumber=EP16802532&showPdfPage=all&proc=
EP16802532,L0MFXRGH94MONGE,21.03.2022,Bibliographic data of the European patent application,Search / examination,2,21-03-2022_Bibliographic_data_of_the_European_patent_application_L0MFXRGH94MONGE.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\original-application\21-03-2022_Bibliographic_data_of_the_European_patent_application_L0MFXRGH94MONGE.pdf,https://register.epo.org/application?documentId=L0MFXRGH94MONGE&appnumber=EP16802532&showPdfPage=all&proc=
