"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP16802532","L6FNAWHJ1M7IUKL","11.08.2022","Decision to grant a European patent","Search / examination","2","11-08-2022_Decision_to_grant_a_European_patent_L6FNAWHJ1M7IUKL.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\11-08-2022_Decision_to_grant_a_European_patent_L6FNAWHJ1M7IUKL.pdf","https://register.epo.org/application?documentId=L6FNAWHJ1M7IUKL&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","L0MFXQWD1D5KGZ9","21.03.2022","Communication about intention to grant a European patent","Search / examination","5","21-03-2022_Communication_about_intention_to_grant_a_European_patent_L0MFXQWD1D5KGZ9.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\21-03-2022_Communication_about_intention_to_grant_a_European_patent_L0MFXQWD1D5KGZ9.pdf","https://register.epo.org/application?documentId=L0MFXQWD1D5KGZ9&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","L0MYGE6S14NJ6SX","21.03.2022","Text intended for grant (clean copy)","Search / examination","74","21-03-2022_Text_intended_for_grant_(clean_copy)_L0MYGE6S14NJ6SX.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\21-03-2022_Text_intended_for_grant_(clean_copy)_L0MYGE6S14NJ6SX.pdf","https://register.epo.org/application?documentId=L0MYGE6S14NJ6SX&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","L0MYGJ8XJI4SNBA","21.03.2022","Text intended for grant (version for approval)","Search / examination","74","21-03-2022_Text_intended_for_grant_(version_for_approval)_L0MYGJ8XJI4SNBA.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\21-03-2022_Text_intended_for_grant_(version_for_approval)_L0MYGJ8XJI4SNBA.pdf","https://register.epo.org/application?documentId=L0MYGJ8XJI4SNBA&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","KVQIPYVU17U8ASN","08.11.2021","Amended claims with annotations","Search / examination","5","08-11-2021_Amended_claims_with_annotations_KVQIPYVU17U8ASN.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\08-11-2021_Amended_claims_with_annotations_KVQIPYVU17U8ASN.pdf","https://register.epo.org/application?documentId=KVQIPYVU17U8ASN&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","KVQIPZFPOZPZBS0","08.11.2021","Claims","Search / examination","5","08-11-2021_Claims_KVQIPZFPOZPZBS0.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\08-11-2021_Claims_KVQIPZFPOZPZBS0.pdf","https://register.epo.org/application?documentId=KVQIPZFPOZPZBS0&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","KVQIQ4GSC73XWOW","08.11.2021","Description","Search / examination","65","08-11-2021_Description_KVQIQ4GSC73XWOW.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\08-11-2021_Description_KVQIQ4GSC73XWOW.pdf","https://register.epo.org/application?documentId=KVQIQ4GSC73XWOW&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","KVQIPYC8152O3WN","08.11.2021","Reply to communication from the Examining Division","Search / examination","4","08-11-2021_Reply_to_communication_from_the_Examining_Division_KVQIPYC8152O3WN.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\08-11-2021_Reply_to_communication_from_the_Examining_Division_KVQIPYC8152O3WN.pdf","https://register.epo.org/application?documentId=KVQIPYC8152O3WN&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E6D4A3FJ3751DSU","28.06.2021","Annex to the communication","Search / examination","2","28-06-2021_Annex_to_the_communication_E6D4A3FJ3751DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\28-06-2021_Annex_to_the_communication_E6D4A3FJ3751DSU.pdf","https://register.epo.org/application?documentId=E6D4A3FJ3751DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E6D4A3A75118DSU","28.06.2021","Communication from the Examining Division","Search / examination","2","28-06-2021_Communication_from_the_Examining_Division_E6D4A3A75118DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\28-06-2021_Communication_from_the_Examining_Division_E6D4A3A75118DSU.pdf","https://register.epo.org/application?documentId=E6D4A3A75118DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E50SR0ZL6045DSU","22.03.2021","Amended claims with annotations","Search / examination","5","22-03-2021_Amended_claims_with_annotations_E50SR0ZL6045DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\22-03-2021_Amended_claims_with_annotations_E50SR0ZL6045DSU.pdf","https://register.epo.org/application?documentId=E50SR0ZL6045DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E50SR0256278DSU","22.03.2021","Claims","Search / examination","5","22-03-2021_Claims_E50SR0256278DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\22-03-2021_Claims_E50SR0256278DSU.pdf","https://register.epo.org/application?documentId=E50SR0256278DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E50SR0V95329DSU","22.03.2021","Reply to communication from the Examining Division","Search / examination","3","22-03-2021_Reply_to_communication_from_the_Examining_Division_E50SR0V95329DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\22-03-2021_Reply_to_communication_from_the_Examining_Division_E50SR0V95329DSU.pdf","https://register.epo.org/application?documentId=E50SR0V95329DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E5HO98AH3196DSU","11.11.2020","Annex to the communication","Search / examination","2","11-11-2020_Annex_to_the_communication_E5HO98AH3196DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\11-11-2020_Annex_to_the_communication_E5HO98AH3196DSU.pdf","https://register.epo.org/application?documentId=E5HO98AH3196DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E5HO97318722DSU","11.11.2020","Communication from the Examining Division","Search / examination","2","11-11-2020_Communication_from_the_Examining_Division_E5HO97318722DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\11-11-2020_Communication_from_the_Examining_Division_E5HO97318722DSU.pdf","https://register.epo.org/application?documentId=E5HO97318722DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E438VJMX8604DSU","06.08.2020","Amended claims with annotations","Search / examination","5","06-08-2020_Amended_claims_with_annotations_E438VJMX8604DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\06-08-2020_Amended_claims_with_annotations_E438VJMX8604DSU.pdf","https://register.epo.org/application?documentId=E438VJMX8604DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E438VJQA4421DSU","06.08.2020","Claims","Search / examination","5","06-08-2020_Claims_E438VJQA4421DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\06-08-2020_Claims_E438VJQA4421DSU.pdf","https://register.epo.org/application?documentId=E438VJQA4421DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E438VJJ55571DSU","06.08.2020","Reply to communication from the Examining Division","Search / examination","4","06-08-2020_Reply_to_communication_from_the_Examining_Division_E438VJJ55571DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\06-08-2020_Reply_to_communication_from_the_Examining_Division_E438VJJ55571DSU.pdf","https://register.epo.org/application?documentId=E438VJJ55571DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E4JSESKW0511DSU","19.03.2020","Annex to the communication","Search / examination","2","19-03-2020_Annex_to_the_communication_E4JSESKW0511DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\19-03-2020_Annex_to_the_communication_E4JSESKW0511DSU.pdf","https://register.epo.org/application?documentId=E4JSESKW0511DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E4JSESI49850DSU","19.03.2020","Communication from the Examining Division","Search / examination","2","19-03-2020_Communication_from_the_Examining_Division_E4JSESI49850DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\19-03-2020_Communication_from_the_Examining_Division_E4JSESI49850DSU.pdf","https://register.epo.org/application?documentId=E4JSESI49850DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E3HDMR8Q5815DSU","21.06.2019","Amended claims filed after receipt of (European) search report","Search / examination","6","21-06-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E3HDMR8Q5815DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\21-06-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E3HDMR8Q5815DSU.pdf","https://register.epo.org/application?documentId=E3HDMR8Q5815DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E3HDMR498837DSU","21.06.2019","Amended claims with annotations","Search / examination","8","21-06-2019_Amended_claims_with_annotations_E3HDMR498837DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\21-06-2019_Amended_claims_with_annotations_E3HDMR498837DSU.pdf","https://register.epo.org/application?documentId=E3HDMR498837DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E2M0WMFX1516DSU","26.11.2018","European search opinion","Search / examination","2","26-11-2018_European_search_opinion_E2M0WMFX1516DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\26-11-2018_European_search_opinion_E2M0WMFX1516DSU.pdf","https://register.epo.org/application?documentId=E2M0WMFX1516DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E2M0WFZ20397DSU","26.11.2018","Supplementary European search report","Search / examination","1","26-11-2018_Supplementary_European_search_report_E2M0WFZ20397DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\26-11-2018_Supplementary_European_search_report_E2M0WFZ20397DSU.pdf","https://register.epo.org/application?documentId=E2M0WFZ20397DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E1B7JWV25078DSU","28.12.2017","Claims","Search / examination","7","28-12-2017_Claims_E1B7JWV25078DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\28-12-2017_Claims_E1B7JWV25078DSU.pdf","https://register.epo.org/application?documentId=E1B7JWV25078DSU&appnumber=EP16802532&showPdfPage=all&proc="
"EP16802532","E1B7JWV22462DSU","28.12.2017","Description","Search / examination","67","28-12-2017_Description_E1B7JWV22462DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP16802532\docs\28-12-2017_Description_E1B7JWV22462DSU.pdf","https://register.epo.org/application?documentId=E1B7JWV22462DSU&appnumber=EP16802532&showPdfPage=all&proc="
