applicationNumber,documentId,date,title,phase,pages,fileName,path,url
EP17821262,E1DRYHT50853DSU,04.01.2018,Published international application - A1,Search / examination,110,04-01-2018_Published_international_application_-_A1_E1DRYHT50853DSU.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\original-application\04-01-2018_Published_international_application_-_A1_E1DRYHT50853DSU.pdf,https://register.epo.org/application?documentId=E1DRYHT50853DSU&appnumber=EP17821262&showPdfPage=all&proc=
EP17821262,KW2B2BU310CEUQK,16.11.2021,Claims,Search / examination,1,16-11-2021_Claims_KW2B2BU310CEUQK.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\original-application\16-11-2021_Claims_KW2B2BU310CEUQK.pdf,https://register.epo.org/application?documentId=KW2B2BU310CEUQK&appnumber=EP17821262&showPdfPage=all&proc=
EP17821262,KW2B2H8AY7SPCWZ,16.11.2021,Description,Search / examination,78,16-11-2021_Description_KW2B2H8AY7SPCWZ.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\original-application\16-11-2021_Description_KW2B2H8AY7SPCWZ.pdf,https://register.epo.org/application?documentId=KW2B2H8AY7SPCWZ&appnumber=EP17821262&showPdfPage=all&proc=
EP17821262,LAJSRSW8150CQMF,24.11.2022,Bibliographic data of the European patent application,Search / examination,2,24-11-2022_Bibliographic_data_of_the_European_patent_application_LAJSRSW8150CQMF.pdf,F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17821262\original-application\24-11-2022_Bibliographic_data_of_the_European_patent_application_LAJSRSW8150CQMF.pdf,https://register.epo.org/application?documentId=LAJSRSW8150CQMF&appnumber=EP17821262&showPdfPage=all&proc=
