"applicationNumber","documentId","date","title","phase","pages"
"EP08863620","EWS40XHJ8164452","13.11.2014","Closing of application","Search / examination","2"
"EP08863620","EWMVZJG03923171","26.09.2014","Submission concerning representation","Search / examination","2"
"EP08863620","EWC94CAZ1277951","01.08.2014","Application deemed to be withdrawn (non-payment of renewal fee)","Search / examination","1"
"EP08863620","EVN2ST5S4818FI4","04.02.2014","Notice drawing attention to the payment of the renewal fee and additional fee","Search / examination","2"
"EP08863620","EUW9B5HM9537936","24.07.2013","Reply to communication from the Examining Division","Search / examination","3"
"EP08863620","EUEPC6Z50126FI4","26.03.2013","Annex to the communication","Search / examination","7"
"EP08863620","EUEPC6V27994FI4","26.03.2013","Communication from the Examining Division","Search / examination","2"
"EP08863620","ET1T2HU67917754","14.12.2012","Abstract","Search / examination","2"
"EP08863620","ET1T2HUY6685754","14.12.2012","Amended claims filed after receipt of (European) search report","Search / examination","6"
"EP08863620","ET1T2HUS4985754","14.12.2012","Amended claims with annotations","Search / examination","9"
"EP08863620","ET1T2HUM4511754","14.12.2012","Amendments received before examination","Search / examination","4"
"EP08863620","ET1T2HU15973754","14.12.2012","Claims","Search / examination","2"
"EP08863620","ET1T2HU44718754","14.12.2012","Description","Search / examination","39"
"EP08863620","ETNZ018V8882887","19.09.2012","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP08863620","ETNZCZKJ2917009","17.09.2012","Communication regarding the transmission of a new European search report (correction)","Search / examination","1"
"EP08863620","ETNZC8QN1575009","17.09.2012","Supplementary European search report","Search / examination","12"
"EP08863620","ETHT1EMW8265235","26.07.2012","Letter concerning search matters","Search / examination","1"
"EP08863620","ETCDQIVR9839FI4","02.07.2012","Invitation to declare maintenance of the application and to correct deficiencies in the Written Opinion/amend application","Search / examination","1"
"EP08863620","ES9119H49698FI4","13.06.2012","Communication regarding the transmission of the European search report","Search / examination","1"
"EP08863620","ES92VK6C0543FI4","13.06.2012","European search opinion","Search / examination","2"
"EP08863620","ES92WD2E7983FI4","13.06.2012","Supplementary European search report","Search / examination","12"
"EP08863620","EQL6XQW28542FI4","11.08.2010","Notification of forthcoming publication","Search / examination","1"
"EP08863620","EQLZ2B0B0057FI4","04.08.2010","Translation of the international preliminary report on patentability","Search / examination","8"
"EP08863620","EQKS6T8D3150354","03.08.2010","Communication regarding possible amendment of the application/payment of claims fee","Search / examination","2"
"EP08863620","EQIVGOI92987FI4","13.07.2010","Copy of the international preliminary report on patentability","Search / examination","7"
"EP08863620","EQF88C1S9774FI4","25.06.2010","CDS Clean up - amended data concerning the representative of the applicant (Association)","Search / examination","1"
"EP08863620","EQETO1704812FI4","15.06.2010","(Electronic) Receipt","Search / examination","2"
"EP08863620","EQETO2NQ9796FI4","15.06.2010","Abstract","Search / examination","2"
"EP08863620","EQETO2NQ5881FI4","15.06.2010","Claims","Search / examination","9"
"EP08863620","EQETO2NQ1472FI4","15.06.2010","Description","Search / examination","98"
"EP08863620","EQETO10D4801FI4","15.06.2010","Request for entry into the European phase","Search / examination","4"
"EP08863620","EP8QXIIJ5705FI4","10.05.2010","Information on entry into European phase","Search / examination","3"
"EP08863620","EO3ZM89R1301FI4","22.07.2009","Priority document (electronically transmitted)","Search / examination","32"
"EP08863620","EO1ZWAMO8042FI4","02.07.2009","Copy of the international search report","Search / examination","3"
"EP08863620","EO1ZWAL57045FI4","02.07.2009","Copy of the translated international search report","Search / examination","4"
"EP08863620","EO1ZWAL47690FI4","02.07.2009","International publication pamphlet","Search / examination","82"
