"applicationNumber","documentId","date","title","phase","pages"
"EP20726962","MP7GZX2A1GMPRV9","20.05.2026","Communication regarding the expiry of opposition period","Search / examination","1"
"EP20726962","MMT9E24AJEEF62D","16.03.2026","(Electronic) Receipt","Search / examination","1"
"EP20726962","MMT9E0YIXGKKAF2","16.03.2026","Letter accompanying subsequently filed items","Search / examination","2"
"EP20726962","MMT9E1FG1BRWY6B","16.03.2026","Submission concerning change of applicant's representative","Search / examination","1"
"EP20726962","MMAOUXS51F5FVRJ","06.03.2026","Communication of amended entries concerning the representative","Search / examination","1"
"EP20726962","MMAOSD1WQ0W27Q0","03.03.2026","(Electronic) Receipt","Search / examination","1"
"EP20726962","MMAXLJZ7W1JMYF3","03.03.2026","Letter relating to the revocation of the automatic debiting procedure","Search / examination","1"
"EP20726962","MMAOSCIA4YUPNCX","03.03.2026","Request for change of applicant's representative","Search / examination","2"
"EP20726962","MDDKJ9YHN9SON1O","29.07.2025","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP20726962","MBU01FLA1M4AJJR","20.06.2025","Decision to grant a European patent","Search / examination","2"
"EP20726962","MBJMDENT1IHYG58","05.06.2025","(Electronic) Receipt","Search / examination","2"
"EP20726962","MBJMDGTPBSAL2V6","05.06.2025","Filing of the translations of the claims","Search / examination","2"
"EP20726962","MBJMDHAF41XXW1Q","05.06.2025","French translation of claims","Search / examination","20"
"EP20726962","MBJMDIGW1UKDN20","05.06.2025","German translation of the claims","Search / examination","13"
"EP20726962","M7LLTWXP34RRAYC","28.02.2025","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP20726962","M7LLTWXK1C9W7XC","28.02.2025","Bibliographic data of the European patent application","Search / examination","3"
"EP20726962","M7LLTWXI19N4W9D","28.02.2025","Communication about intention to grant a European patent","Search / examination","5"
"EP20726962","M7LLTWXUBFJMIMN","28.02.2025","Intention to grant (signatures)","Search / examination","1"
"EP20726962","M7L1FRF91GJVC7P","28.02.2025","Text intended for grant (clean copy)","Search / examination","259"
"EP20726962","M7L1G6WYPQZGZZT","28.02.2025","Text intended for grant (version for approval)","Search / examination","259"
"EP20726962","M796LF2E607F5EA","17.02.2025","(Electronic) Receipt","Search / examination","1"
"EP20726962","M796LN391FUSM8E","17.02.2025","Claims","Search / examination","14"
"EP20726962","M796LMAQ16XB6X1","17.02.2025","Request for correction/amendment of the text proposed for grant sent from 01.04.2012","Search / examination","1"
"EP20726962","M796LMN14EQ54ST","17.02.2025","Summary of subsequently filed documents","Search / examination","2"
"EP20726962","M6QKIHKA3G1ODI9","06.02.2025","Annex to the communication about intention to grant a European patent","Search / examination","1"
"EP20726962","M6QKIHK8150398X","06.02.2025","Bibliographic data of the European patent application","Search / examination","3"
"EP20726962","M6QKIHK47MJ1FBY","06.02.2025","Communication about intention to grant a European patent","Search / examination","5"
"EP20726962","M6QKIHKEZZVHOTU","06.02.2025","Intention to grant (signatures)","Search / examination","1"
"EP20726962","M6PMXUB9ORZV0XU","06.02.2025","Text intended for grant (clean copy)","Search / examination","258"
"EP20726962","M6PMY9RG1R9JVRW","06.02.2025","Text intended for grant (version for approval)","Search / examination","258"
"EP20726962","M2W1313LA26T40B","30.10.2024","(Electronic) Receipt","Search / examination","1"
"EP20726962","M2W13A30JB8TXCD","30.10.2024","Amended description with annotations","Search / examination","276"
"EP20726962","M2W13QJTLGZDWGD","30.10.2024","Claims","Search / examination","13"
"EP20726962","M2W133YN1IQ7UM8","30.10.2024","Description","Search / examination","51"
"EP20726962","M2W1392V1P5Q0UV","30.10.2024","Reply to communication from the Examining Division","Search / examination","2"
"EP20726962","M2W138AUIUGOCUJ","30.10.2024","Summary of subsequently filed documents","Search / examination","1"
"EP20726962","LYFIQ4HAZLUODRT","15.07.2024","Annex to the communication","Search / examination","5"
"EP20726962","LYFIQ4H517HT8SM","15.07.2024","Communication from the Examining Division","Search / examination","2"
"EP20726962","LY8WSTIPIWK9W7O","05.07.2024","Examination started","Search / examination","1"
"EP20726962","LEPJO9ZRHDNX26C","06.03.2023","Communication of the registration of a transfer or change of name and/or address","Search / examination","2"
"EP20726962","LEPJNH9Y9Y8XX04","28.02.2023","Letter accompanying subsequently filed items","Search / examination","1"
"EP20726962","LEPJNHAQU7Y2P8C","28.02.2023","Submission concerning change of applicant's address","Search / examination","5"
"EP20726962","L01NZ8G3S12046Y","02.03.2022","Notification on forthcoming publication of bibliographic data","Search / examination","1"
"EP20726962","KXGPZPT119XNQ6K","07.01.2022","Communication regarding comments on written opinion/amendment of application/payment of claims fee","Search / examination","3"
"EP20726962","KWUCOODVX25PEJA","06.12.2021","Copy of the international preliminary report on patentability","Search / examination","12"
"EP20726962","KW4PTA7V192I2G5","18.11.2021","(Electronic) Receipt","Search / examination","1"
"EP20726962","KW4PT8LJ1WB8FNB","18.11.2021","Amended claims filed after receipt of (European) search report","Search / examination","13"
"EP20726962","KW4PT9L81C3KM4Z","18.11.2021","Amendments received before examination","Search / examination","1"
"EP20726962","KW4PT7YT1DH40Q1","18.11.2021","Request for entry into the European phase","Search / examination","5"
"EP20726962","KU37ZIYD1BV3VW9","01.10.2021","Information on entry into European phase","Search / examination","4"
"EP20726962","E5MS9ZOO9905DSU","14.12.2020","Priority document (electronically transmitted)","Search / examination","358"
"EP20726962","E5KSDWYM3879DSU","26.11.2020","Copy of the international search report","Search / examination","3"
"EP20726962","E5KSDWYL2187DSU","26.11.2020","Published international application - A1","Search / examination","341"
