"applicationNumber","documentId","date","title","phase","pages"
"EP16823054","KZDBFYVSBSVKQG7","11.02.2022","Communication regarding the expiry of opposition period","Search / examination","1"
"EP16823054","E53ZMVQU0434DSU","20.04.2021","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP16823054","E5YA3YJI3435DSU","12.03.2021","Decision to grant a European patent","Search / examination","2"
"EP16823054","E5W37DK02415DSU","24.02.2021","(Electronic) Receipt","Search / examination","1"
"EP16823054","E5W37C696842DSU","24.02.2021","Filing of the translations of the claims","Search / examination","2"
"EP16823054","E5W37C9S7478DSU","24.02.2021","French translation of claims","Search / examination","9"
"EP16823054","E5W37DD12435DSU","24.02.2021","German translation of the claims","Search / examination","10"
"EP16823054","E5H16G273889DSU","19.11.2020","Bibliographic data of the European patent application","Search / examination","2"
"EP16823054","E5H16G0Q2909DSU","19.11.2020","Communication about intention to grant a European patent","Search / examination","5"
"EP16823054","E5H16KTQ9911DSU","19.11.2020","Intention to grant (signatures)","Search / examination","1"
"EP16823054","E5H5RZ7G0050DSU","19.11.2020","Text intended for grant (clean copy)","Search / examination","98"
"EP16823054","E5H5R0517042DSU","19.11.2020","Text intended for grant (version for approval)","Search / examination","98"
"EP16823054","E5D2P4805605DSU","14.10.2020","(Electronic) Receipt","Search / examination","1"
"EP16823054","E5D2P46T2704DSU","14.10.2020","Description","Search / examination","1"
"EP16823054","E5D2P42U8096DSU","14.10.2020","Letter accompanying subsequently filed items","Search / examination","1"
"EP16823054","E5D2P44Q5541DSU","14.10.2020","Request for correction/amendment of the text proposed for grant sent from 01.04.2012","Search / examination","2"
"EP16823054","E5BY2IM79775DSU","07.10.2020","Bibliographic data of the European patent application","Search / examination","2"
"EP16823054","E5BY2ILK3684DSU","07.10.2020","Communication about intention to grant a European patent","Search / examination","5"
"EP16823054","E5BY2MVK5364DSU","07.10.2020","Intention to grant (signatures)","Search / examination","1"
"EP16823054","E5BZ6AVL0357DSU","07.10.2020","Text intended for grant (clean copy)","Search / examination","98"
"EP16823054","E5BZ6BXM4848DSU","07.10.2020","Text intended for grant (version for approval)","Search / examination","98"
"EP16823054","E453Q0UF5395DSU","19.08.2020","(Electronic) Receipt","Search / examination","1"
"EP16823054","E453Q0P71436DSU","19.08.2020","Claims","Search / examination","7"
"EP16823054","E453Q0NC2918DSU","19.08.2020","Letter accompanying subsequently filed items","Search / examination","1"
"EP16823054","E453Q0OT0901DSU","19.08.2020","Request for correction/amendment of the text proposed for grant sent from 01.04.2012","Search / examination","1"
"EP16823054","E4V18TW87271DSU","19.06.2020","Bibliographic data of the European patent application","Search / examination","2"
