"applicationNumber","documentId","date","title","phase","pages"
"EP18755728","E3WS62F61225DSU","07.10.2019","Notification of the recording of a change","PCT receiving Office","1"
"EP18755728","E3WS62F33530DSU","07.10.2019","Notification of the recording of a change","Search / examination","1"
"EP18755728","E3WS62FX2576DSU","07.10.2019","Notification of the recording of a change","International Searching Authority","1"
"EP18755728","E3WS62F47744DSU","07.10.2019","Notification of the recording of a change","Search / examination","1"
"EP18755728","E3WS62F17425DSU","07.10.2019","Notification of the recording of a change","PCT receiving Office","1"
"EP18755728","E3WS62FY8450DSU","07.10.2019","Notification of the recording of a change","PCT receiving Office","1"
"EP18755728","E3WS62FS9147DSU","07.10.2019","Notification of the recording of a change","PCT receiving Office","1"
"EP18755728","E3WS62F03442DSU","07.10.2019","Notification of the recording of a change","Search / examination","1"
"EP18755728","E3WS62F97602DSU","07.10.2019","Notification of the recording of a change","International Searching Authority","1"
"EP18755728","E3WS62FQ6971DSU","07.10.2019","Notification of the recording of a change","International Searching Authority","1"
"EP18755728","E3WS62FJ8369DSU","07.10.2019","Notification of the recording of a change","Search / examination","1"
"EP18755728","E2032FGT5336DSU","27.02.2019","Priority document (electronically transmitted)","Search / examination","89"
"EP18755728","E2ZDY14Q1717DSU","07.02.2019","Copy of the international search report","Search / examination","7"
"EP18755728","E2ZDY14O5312DSU","07.02.2019","Published international application - A1","Search / examination","222"
"EP18755728","E2Q0YJP21059DSU","02.01.2019","ISR: cited documents","International Searching Authority","7"
"EP18755728","E2QXDL3E8769DSU","21.12.2018","Written opinion of the ISA, boxes No. I to VIII","International Searching Authority","2"
"EP18755728","E2QXDLZJ2900DSU","21.12.2018","Written opinion of the ISA, cover sheet","International Searching Authority","1"
"EP18755728","E2QXDL686172DSU","21.12.2018","Written opinion of the ISA, supplemental box","International Searching Authority","7"
"EP18755728","E2OS2OOB8267DSU","03.12.2018","(Electronic) Receipt","International Searching Authority","1"
"EP18755728","E2OS2OH60220DSU","03.12.2018","Incoming letter related to ISA procedure","International Searching Authority","1"
"EP18755728","E2BW0SHX0700020","03.09.2018","Incoming letter related to PCT RO","PCT receiving Office","2"
"EP18755728","E2A40D916840DSU","03.09.2018","Notification of receipt of Search copy","International Searching Authority","1"
"EP18755728","E2AXVZR40529877","31.08.2018","Notification of the international application number and of the international filing date","PCT receiving Office","6"
"EP18755728","E2AXVVIQ4081877","28.08.2018","Electronic request for grant of an International application","PCT receiving Office","5"
"EP18755728","E2AY8JWA3741DSU","28.08.2018","Request form for international application (copy for ISA/EP)","International Searching Authority","1"
"EP18755728","E16YBR519372DSU","31.07.2018","(Electronic) Receipt","PCT receiving Office","2"
"EP18755728","E16YBRNZ8600DSU","31.07.2018","Abstract","PCT receiving Office","1"
"EP18755728","E16YBRNZ3754DSU","31.07.2018","Claims","PCT receiving Office","21"
"EP18755728","E16YBRNZ0860DSU","31.07.2018","Description","PCT receiving Office","200"
"EP18755728","E16YBRWJ6089DSU","31.07.2018","Document concerning fees and payments","PCT receiving Office","2"
