category,application_number,status,started_at_utc,finished_at_utc,benchmark_input,analysis_json,analysis_html,error
代谢性疾病,EP16823054,ok,,2026-06-18T05:01:02.731252+00:00,疾病分类9个样例/代谢性疾病/EP16823054/EP16823054-benchmark-input.json,疾病分类9个样例/代谢性疾病/EP16823054/EP16823054-analysis.json,疾病分类9个样例/代谢性疾病/EP16823054/EP16823054-analysis.html,
代谢性疾病,EP18712343,ok,,2026-06-18T05:01:02.731567+00:00,疾病分类9个样例/代谢性疾病/EP18712343/EP18712343-benchmark-input.json,疾病分类9个样例/代谢性疾病/EP18712343/EP18712343-analysis.json,疾病分类9个样例/代谢性疾病/EP18712343/EP18712343-analysis.html,
代谢性疾病,EP20726962,ok,,2026-06-18T05:01:02.731660+00:00,疾病分类9个样例/代谢性疾病/EP20726962/EP20726962-benchmark-input.json,疾病分类9个样例/代谢性疾病/EP20726962/EP20726962-analysis.json,疾病分类9个样例/代谢性疾病/EP20726962/EP20726962-analysis.html,
肿瘤,EP16802532,ok,,2026-06-18T05:01:02.731757+00:00,疾病分类9个样例/肿瘤/EP16802532/EP16802532-benchmark-input.json,疾病分类9个样例/肿瘤/EP16802532/EP16802532-analysis.json,疾病分类9个样例/肿瘤/EP16802532/EP16802532-analysis.html,
肿瘤,EP17191704,ok,,2026-06-18T05:01:02.731827+00:00,疾病分类9个样例/肿瘤/EP17191704/EP17191704-benchmark-input.json,疾病分类9个样例/肿瘤/EP17191704/EP17191704-analysis.json,疾病分类9个样例/肿瘤/EP17191704/EP17191704-analysis.html,
肿瘤,EP17821262,ok,,2026-06-18T05:01:02.731899+00:00,疾病分类9个样例/肿瘤/EP17821262/EP17821262-benchmark-input.json,疾病分类9个样例/肿瘤/EP17821262/EP17821262-analysis.json,疾病分类9个样例/肿瘤/EP17821262/EP17821262-analysis.html,
自身免疫性疾病,EP12710797,ok,,2026-06-18T05:01:02.731980+00:00,疾病分类9个样例/自身免疫性疾病/EP12710797/EP12710797-benchmark-input.json,疾病分类9个样例/自身免疫性疾病/EP12710797/EP12710797-analysis.json,疾病分类9个样例/自身免疫性疾病/EP12710797/EP12710797-analysis.html,
自身免疫性疾病,EP18755728,ok,,2026-06-18T05:01:02.732066+00:00,疾病分类9个样例/自身免疫性疾病/EP18755728/EP18755728-benchmark-input.json,疾病分类9个样例/自身免疫性疾病/EP18755728/EP18755728-analysis.json,疾病分类9个样例/自身免疫性疾病/EP18755728/EP18755728-analysis.html,
自身免疫性疾病,EP18826609,ok,,2026-06-18T05:01:02.732141+00:00,疾病分类9个样例/自身免疫性疾病/EP18826609/EP18826609-benchmark-input.json,疾病分类9个样例/自身免疫性疾病/EP18826609/EP18826609-analysis.json,疾病分类9个样例/自身免疫性疾病/EP18826609/EP18826609-analysis.html,
