category,application_number,disease_reason,small_molecule_type,source_action,publication_number,title,keyword_group,benchmark_label,case_dir,benchmark_input,analysis_json,analysis_html,has_benchmark_input,has_analysis_json,has_analysis_html,register_html_count,register_csv_count,docs_pdf_count,docs_txt_count,original_pdf_count,png_count
肿瘤,EP16802532,EGFR small-molecule inhibitor for oncology targeted therapy,single-target small molecule / EGFR inhibitor,copied_from_benchmark-api50,EP3312180B1,Use of pteridinone derivative serving as egfr inhibitor,EGFR,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP16802532,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP16802532\EP16802532-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP16802532\EP16802532-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP16802532\EP16802532-analysis.html,True,True,True,2,1,26,26,5,0
肿瘤,EP17191704,BTK inhibitor for solid tumors,single-target small molecule / kinase inhibitor,copied_from_benchmark-api50,EP3311818A3,Inhibitors of bruton's tyrosine kinase for the treatment of solid tumors,BTK,negative_ungranted_candidate,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17191704,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17191704\EP17191704-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17191704\EP17191704-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17191704\EP17191704-analysis.html,True,True,True,2,1,13,13,5,0
肿瘤,EP17821262,PARP inhibitor for ovarian cancer treatment,single-target small molecule / PARP inhibitor,copied_from_benchmark-api50,EP3478286B1,Methods of treating ovarian cancer,PARP,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17821262,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17821262\EP17821262-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17821262\EP17821262-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\肿瘤\EP17821262\EP17821262-analysis.html,True,True,True,2,1,26,26,4,0
自身免疫性疾病,EP18755728,NLRP3 inflammasome small-molecule inhibitor for inflammation/autoimmune use cases,single-target small molecule / inflammasome inhibitor,copied_from_benchmark-api50,EP3661921B1,Selective inhibitors of nlrp3 inflammasome,NLRP3,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18755728,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18755728\EP18755728-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18755728\EP18755728-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18755728\EP18755728-analysis.html,True,True,True,2,1,24,24,5,0
自身免疫性疾病,EP18826609,NLRP3 inflammasome sulphonyl urea modulator for inflammation/autoimmune use cases,single-target small molecule / inflammasome modulator,copied_from_benchmark-api50,EP3728238B1,Sulphonyl urea derivatives as nlrp3 inflammasome modulators,NLRP3,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18826609,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18826609\EP18826609-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18826609\EP18826609-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP18826609\EP18826609-analysis.html,True,True,True,2,1,32,32,5,0
自身免疫性疾病,EP12710797,Quinolone analogs for treating autoimmune diseases,single-target/mechanism-directed small molecule,copied_from_benchmark-api50,EP2685976B1,Quinolone analogs for treating autoimmune diseases,POLRMT,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP12710797,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP12710797\EP12710797-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP12710797\EP12710797-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\自身免疫性疾病\EP12710797\EP12710797-analysis.html,True,True,True,2,1,14,14,6,0
代谢性疾病,EP16823054,Ketohexokinase inhibitors for metabolic disease context,single-target small molecule / enzyme inhibitor,fresh_ep_pipeline_run,EP3397631B1,Substituted 3-azabicyclo[3.1.0]hexanes as ketohexokinase inhibitors,SQLE,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\EP16823054-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\EP16823054-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\EP16823054-analysis.html,True,True,True,2,1,15,17,3,0
代谢性疾病,EP18712343,ACC inhibitors and solid forms for lipid/metabolic disease context,single-target small molecule / enzyme inhibitor / solid form,fresh_ep_pipeline_run,EP3589636B1,Processes for preparing acc inhibitors and solid forms thereof,SQLE,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\EP18712343-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\EP18712343-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP18712343\EP18712343-analysis.html,True,True,True,2,1,13,13,5,0
代谢性疾病,EP20726962,GLP-1R agonist combination for metabolic disease context,small-molecule receptor agonist / combination,fresh_ep_pipeline_run,EP3972596B1,Combinations comprising benzodioxol as glp-1r agonists for use in the treatment …,SQLE,positive_granted,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\EP20726962-benchmark-input.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\EP20726962-analysis.json,epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP20726962\EP20726962-analysis.html,True,True,True,2,1,15,15,3,0
