pdf,txt,status,returncode,error
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Annex_to_the_communication_EYS6YDER6021DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/05-04-2016_Communication_from_the_Examining_Division_EYS6YDBI1779DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Amended_claims_with_annotations_EZK6D2J13229DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Claims_EZK6D2TL7828DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Claims_EZK6D2TL7828DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Claims_EZK6D2TL7828DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Claims_EZK6D2TL7828DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/13-10-2016_Reply_to_communication_from_the_Examining_Division_EZK6D15C9526DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/20-09-2013_Amended_claims_filed_after_receipt_of_(European)_search_report_EU5ADQAV2359FI4.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/20-09-2013_Amended_claims_filed_after_receipt_of_(European)_search_report_EU5ADQAV2359FI4_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/20-09-2013_Amended_claims_filed_after_receipt_of_(European)_search_report_EU5ADQAV2359FI4.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/20-09-2013_Amended_claims_filed_after_receipt_of_(European)_search_report_EU5ADQAV2359FI4_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/24-03-2017_Communication_about_intention_to_grant_a_European_patent_EZ67GOPF1671DSU_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/28-03-2012_Claims_ESZ40ACM0538328.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/28-03-2012_Claims_ESZ40ACM0538328_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/28-03-2012_Claims_ESZ40ACM0538328.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/28-03-2012_Claims_ESZ40ACM0538328_ocr.txt 
疾病分类9个样例/自身免疫性疾病/EP12710797/docs/30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU.pdf,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU_ocr.txt,ok,0,疾病分类9个样例/自身免疫性疾病/EP12710797/docs/30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU.pdf -> 疾病分类9个样例/自身免疫性疾病/EP12710797/docs/30-11-2017_Decision_to_grant_a_European_patent_E069PW6Y9825DSU_ocr.txt 
