"applicationNumber","documentId","date","title","phase","pages"
"EP12710797","E2JE9MNH8684DSU","31.10.2018","Communication regarding the expiry of opposition period","Search / examination","1"
"EP12710797","E1DS4FEU3138DSU","12.01.2018","Transmission of the certificate for a European patent pursuant to Rule 74 EPC","Search / examination","1"
"EP12710797","E069PW6Y9825DSU","30.11.2017","Decision to grant a European patent","Search / examination","2"
"EP12710797","E06TPI4G8869DSU","27.11.2017","Decision to allow further processing","Search / examination","1"
"EP12710797","E052KDID2758DSU","15.11.2017","(Electronic) Receipt","Search / examination","1"
"EP12710797","E052KDCT3679DSU","15.11.2017","Filing of the translations of the claims","Search / examination","1"
"EP12710797","E052KC8N9373DSU","15.11.2017","French translation of claims","Search / examination","12"
"EP12710797","E052KC1H7366DSU","15.11.2017","German translation of the claims","Search / examination","12"
"EP12710797","E052KCQD6110DSU","15.11.2017","Letter accompanying subsequently filed items","Search / examination","2"
"EP12710797","E0WB15U92621696","15.09.2017","Application deemed to be withdrawn ( translations of claims/payment missing)","Search / examination","2"
"EP12710797","EZ67GOSH8195DSU","24.03.2017","Bibliographic data of the European patent application","Search / examination","2"
"EP12710797","EZ67GOPF1671DSU","24.03.2017","Communication about intention to grant a European patent","Search / examination","5"
"EP12710797","EZ67GOVI8837DSU","24.03.2017","Intention to grant (signatures)","Search / examination","1"
"EP12710797","EZ69LH4F9917DSU","24.03.2017","Text intended for grant (clean copy)","Search / examination","103"
"EP12710797","EZ67GTPN6726228","24.03.2017","Text intended for grant (sequence listing)","Search / examination","268"
"EP12710797","EZ69LKN52690DSU","24.03.2017","Text intended for grant (version for approval)","Search / examination","103"
"EP12710797","EZ67GHHG0776DSU","16.03.2017","Bibliographic data of the European patent application","Search / examination","1"
"EP12710797","EZK6D2WD7105DSU","13.10.2016","(Electronic) Receipt","Search / examination","1"
"EP12710797","EZK6D2J13229DSU","13.10.2016","Amended claims with annotations","Search / examination","23"
"EP12710797","EZK6D2TL7828DSU","13.10.2016","Claims","Search / examination","12"
"EP12710797","EZK6D1ZA2716DSU","13.10.2016","Letter accompanying subsequently filed items","Search / examination","1"
"EP12710797","EZK6D15C9526DSU","13.10.2016","Reply to communication from the Examining Division","Search / examination","6"
"EP12710797","EZBX9Z3A4284DSU","12.08.2016","Grant of extension of time limit (examination procedure)","Search / examination","2"
"EP12710797","EZBV3AUN7615DSU","09.08.2016","(Electronic) Receipt","Search / examination","1"
"EP12710797","EZBV3AON7014DSU","09.08.2016","Letter accompanying subsequently filed items","Search / examination","1"
"EP12710797","EZBV4CNK7081DSU","09.08.2016","Request for extension of time limit to communication from the Examining Division","Search / examination","1"
"EP12710797","EYS6YDER6021DSU","05.04.2016","Annex to the communication","Search / examination","1"
"EP12710797","EYS6YDBI1779DSU","05.04.2016","Communication from the Examining Division","Search / examination","2"
"EP12710797","EYS5WB6D4575DSU","31.03.2016","Examination started","Search / examination","1"
"EP12710797","EX3RMU793113DSU","08.10.2015","Communication of amended entries concerning the representative","Search / examination","1"
"EP12710797","EX4AJMDN0622773","29.09.2015","Submission concerning change of applicant's representative","Search / examination","1"
"EP12710797","EVH7Y8U57014FI4","07.01.2014","Notification on forthcoming publication of bibliographic data","Search / examination","1"
"EP12710797","EU82MOX25277FI4","24.10.2013","Communication regarding comments on written opinion/amendment of application/payment of claims fee","Search / examination","2"
"EP12710797","EU82MMA76860FI4","22.10.2013","Communication to designated inventor","Search / examination","1"
"EP12710797","EU82ME903511FI4","22.10.2013","Communication to designated inventor","Search / examination","1"
"EP12710797","EU6V4WQ85642FI4","01.10.2013","Copy of the international preliminary report on patentability","Search / examination","7"
"EP12710797","EU5ADQDY2616FI4","20.09.2013","(Electronic) Receipt","Search / examination","2"
"EP12710797","EU5ADQAV2359FI4","20.09.2013","Amended claims filed after receipt of (European) search report","Search / examination","17"
"EP12710797","EU5ADPZS6448FI4","20.09.2013","Request for entry into the European phase","Search / examination","5"
"EP12710797","EUWCU1LH3797FI4","24.07.2013","Information on entry into European phase","Search / examination","3"
"EP12710797","ETR0B8VY8939FI4","10.10.2012","Priority document (electronically transmitted)","Search / examination","97"
"EP12710797","EU9OW0P13799FI4","20.09.2012","Sequence listing","Search / examination 
 0  
 
   
 20.09.2012 
  Copy of the international search report  
 Search / examination","3"
"EP12710797","ETPP4NYB4830FI4","20.09.2012","Published international application - A1","Search / examination","116"
"EP12710797","ETDOZW441663FI4","05.07.2012","Written opinion of the ISA, boxes No. I to VIII","International Searching Authority","2"
"EP12710797","ETDOZW110154FI4","05.07.2012","Written opinion of the ISA, cover sheet","International Searching Authority","1"
"EP12710797","ETDOZW757867FI4","05.07.2012","Written opinion of the ISA, supplemental box","International Searching Authority","3"
"EP12710797","ESZ40ACM8142328","28.03.2012","Abstract","International Searching Authority","1"
"EP12710797","ESZ40ACM0538328","28.03.2012","Claims","International Searching Authority","24"
"EP12710797","ESZ40ACL4074328","28.03.2012","Description","International Searching Authority","84"
"EP12710797","ESZ40ACN5169328","28.03.2012","Drawings","International Searching Authority","7"
"EP12710797","ESZ40ACO1277328","28.03.2012","Submission concerning representation","International Searching Authority","2"
"EP12710797","ESZPM8SG2280FI4","26.03.2012","Notification relating to declaration under Rule 4.17 PCT (copy for ISA/EP)","International Searching Authority","1"
