"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP16823054","E2QX6V6C2729DSU","18.12.2018","Claims","Search / examination","7","18-12-2018_Claims_E2QX6V6C2729DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\original-application\18-12-2018_Claims_E2QX6V6C2729DSU.pdf","https://register.epo.org/application?documentId=E2QX6V6C2729DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E4V18TW87271DSU","19.06.2020","Bibliographic data of the European patent application","Search / examination","2","19-06-2020_Bibliographic_data_of_the_European_patent_application_E4V18TW87271DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\original-application\19-06-2020_Bibliographic_data_of_the_European_patent_application_E4V18TW87271DSU.pdf","https://register.epo.org/application?documentId=E4V18TW87271DSU&appnumber=EP16823054&showPdfPage=all&proc="
"EP16823054","E5D2P46T2704DSU","14.10.2020","Description","Search / examination","1","14-10-2020_Description_E5D2P46T2704DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\疾病分类9个样例\代谢性疾病\EP16823054\original-application\14-10-2020_Description_E5D2P46T2704DSU.pdf","https://register.epo.org/application?documentId=E5D2P46T2704DSU&appnumber=EP16823054&showPdfPage=all&proc="
