"applicationNumber","documentId","date","title","phase","pages","fileName","path","url"
"EP17191704","E5744OS41445171","20.05.2021","Application deemed to be withdrawn (no reply to communication from the Examining Division)","Search / examination","2","20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\20-05-2021_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E5744OS41445171.pdf","https://register.epo.org/application?documentId=E5744OS41445171&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E5DDLWIR8552DSU","14.10.2020","Annex to the communication","Search / examination","3","14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\14-10-2020_Annex_to_the_communication_E5DDLWIR8552DSU.pdf","https://register.epo.org/application?documentId=E5DDLWIR8552DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E5DDLWGK8223DSU","14.10.2020","Communication from the Examining Division","Search / examination","2","14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\14-10-2020_Communication_from_the_Examining_Division_E5DDLWGK8223DSU.pdf","https://register.epo.org/application?documentId=E5DDLWGK8223DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E4LDZ2201510DSU","27.03.2020","Amended claims with annotations","Search / examination","1","27-03-2020_Amended_claims_with_annotations_E4LDZ2201510DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\27-03-2020_Amended_claims_with_annotations_E4LDZ2201510DSU.pdf","https://register.epo.org/application?documentId=E4LDZ2201510DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E4LDZ21Q5777DSU","27.03.2020","Claims","Search / examination","1","27-03-2020_Claims_E4LDZ21Q5777DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\27-03-2020_Claims_E4LDZ21Q5777DSU.pdf","https://register.epo.org/application?documentId=E4LDZ21Q5777DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E4AXLCAA9029263","17.01.2020","Application deemed to be withdrawn (no reply to communication from the Examining Division)","Search / examination","2","17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\17-01-2020_Application_deemed_to_be_withdrawn_(no_reply_to_communication_from_the_Examining_Division)_E4AXLCAA9029263.pdf","https://register.epo.org/application?documentId=E4AXLCAA9029263&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E3EW7SAG8323DSU","07.06.2019","Annex to the communication","Search / examination","3","07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\07-06-2019_Annex_to_the_communication_E3EW7SAG8323DSU.pdf","https://register.epo.org/application?documentId=E3EW7SAG8323DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E3EW7R6I1771DSU","07.06.2019","Communication from the Examining Division","Search / examination","2","07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\07-06-2019_Communication_from_the_Examining_Division_E3EW7R6I1771DSU.pdf","https://register.epo.org/application?documentId=E3EW7R6I1771DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E2VD4HBW4014DSU","18.01.2019","Amended claims filed after receipt of (European) search report","Search / examination","1","18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\18-01-2019_Amended_claims_filed_after_receipt_of_(European)_search_report_E2VD4HBW4014DSU.pdf","https://register.epo.org/application?documentId=E2VD4HBW4014DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E2VD4HKD8114DSU","18.01.2019","Amended claims with annotations","Search / examination","12","18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\18-01-2019_Amended_claims_with_annotations_E2VD4HKD8114DSU.pdf","https://register.epo.org/application?documentId=E2VD4HKD8114DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E1Z5WQQ66836DSU","19.06.2018","European search opinion","Search / examination","6","19-06-2018_European_search_opinion_E1Z5WQQ66836DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\19-06-2018_European_search_opinion_E1Z5WQQ66836DSU.pdf","https://register.epo.org/application?documentId=E1Z5WQQ66836DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E0XSQBDH2910DSU","18.09.2017","Claims","Search / examination","10","18-09-2017_Claims_E0XSQBDH2910DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\18-09-2017_Claims_E0XSQBDH2910DSU.pdf","https://register.epo.org/application?documentId=E0XSQBDH2910DSU&appnumber=EP17191704&showPdfPage=all&proc="
"EP17191704","E0XSQBDH0111DSU","18.09.2017","Description","Search / examination","175","18-09-2017_Description_E0XSQBDH0111DSU.pdf","F:\benchmark\epo-report-analysis\markush-run\benchmark-api50\EP17191704\docs\18-09-2017_Description_E0XSQBDH0111DSU.pdf","https://register.epo.org/application?documentId=E0XSQBDH0111DSU&appnumber=EP17191704&showPdfPage=all&proc="
